"Identifiant technique de la structure","Raison sociale site","Enseigne commerciale site","Complément destinataire (coord. structure)","Complément point géographique (coord. structure)","Numéro Voie (coord. structure)","Indice répétition voie (coord. structure)","Code type de voie (coord. structure)","Libellé type de voie (coord. structure)","Libellé Voie (coord. structure)","Mention distribution (coord. structure)","Bureau cedex (coord. structure)","Code postal (coord. structure)","Code commune (coord. structure)","Libellé commune (coord. structure)","Code pays (coord. structure)","Libellé pays (coord. structure)","Téléphone (coord. structure)","Téléphone 2 (coord. structure)","Télécopie (coord. structure)","Adresse e-mail (coord. structure)","Code Département (structure)","Libellé Département (structure)","Ancien identifiant de la structure","Autorité d'enregistrement","Code secteur d'activité","Libellé secteur d'activité","Code section tableau pharmaciens","Libellé section tableau pharmaciens","Code rôle","Libellé rôle","Code genre activité","Libellé genre activité",
F03000254730081999,"PHARMACIE LE GUEN","PHARMACIE LE GUEN",,,4,,PL,Place,"DE LA POSTE",,"03250 FERRIERES SUR SICHON",03250,03113,Ferrières-sur-Sichon,99000,France,0470411013,,0470411501,,,,1030002547,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000256215112007,"PHARMACIE DENJEAN",,,,28,,,,"GRANDE RUE",,"03800 GANNAT",03800,03118,Gannat,99000,France,0470900139,,,,,,1030002562,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000261225082015,"PHARMACIE POUILLAUDE","PHARMACIE DU PROGRÈS",,,87,,AV,Avenue,"SAINT JAMES",,"03800 GANNAT",03800,03118,Gannat,99000,France,,,,,,,1030002612,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000264601042021,"PHARMACIE DU CENTRE",,,,59,,,,"GRANDE RUE & 1 PLACE HENNEQUIN",,"03800 GANNAT",03800,03118,Gannat,99000,France,0470900128,,0470900073,pharmacieducentre.gannat@gmail.com,,,1030002646,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000269506122021,"PHARMACIE PEYROUX",,,"Parc d'activité de santé de la Toque",12,,R,Rue,"du Pressoir",,"03380 HURIEL",03380,03128,Huriel,99000,France,,,,,,,1030002695,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000274501042013,"PHARMACIE ASTRUC",,,,2,,R,Rue,"DU PONT",,"03220 JALIGNY-SUR-BESBRE",03220,03132,Jaligny-sur-Besbre,99000,France,"04 70 34 70 40",,,,,,1030002745,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000279401062019,"PHARMACIE DECLOITRE-AMIARD",,,,1,,R,Rue,"WINSTON CHURCHILL",,"03120 LAPALISSE",03120,03138,Lapalisse,99000,France,0470990634,,,,,,1030002794,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000281019092000,"PHARMACIE DELPUECH",,,,29,,R,Rue,"DU PRESIDENT ROOSEVELT",,"03120 LAPALISSE",03120,03138,Lapalisse,99000,France,0470990222,,,,,,1030002810,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030002869,CAMSP,,,,11,,R,Rue,"JEAN JAURES",,"03200 VICHY",03200,03310,Vichy,,,0470301565,,,,,,1030002869,//ARS,SA16,"Etab. pour Handicapés",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F03000289331122021,"SELEURL RENAUD",,,,37,,BD,Boulevard,GAMBETTA,,"03320 LURCY-LEVIS",03320,03155,Lurcy-Lévis,99000,France,0470678035,,0470678315,phie.lurcy@offisecure.com,,,1030002893,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000292701042025,"PHARMACIE PLACE DES TILLEULS",,,"PL DES TILLEULS",1,,R,Rue,"DE LA POSTE",,"03230 LUSIGNY",03230,03156,Lusigny,99000,France,0470424353,,,,,,1030002927,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000294301012017,"PHARMACIE HOL","PHARMACIE DE LA BRANDE",,"CCAL DE LA BRANDE",,,,,,,"03600 MALICORNE",03600,03159,Malicorne,99000,France,0470646570,,,,,,1030002943,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000297627112023,"PHARMACIE DES COMBRAILLES",,,,45,,,,"GRANDE RUE",,"03420 MARCILLAT-EN-COMBRAILLE",03420,03161,Marcillat-en-Combraille,99000,France,,,,,,,1030002976,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000299218121987,"PHARMACIE MEYNIAL",,,,,,R,Rue,"FRANCISQUE DRIFFORT",,"03250 LE-MAYET-DE-MONTAGNE",03250,03165,"Le Mayet-de-Montagne",99000,France,0470597020,,,,,,1030002992,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000302401102022,"PHARMACIE DUMAS",,,,18,,R,Rue,"DE FERRIERES",,"03250 MAYET-DE-MONTAGNE (LE)",03250,03165,"Le Mayet-de-Montagne",,,0470597007,,0470564868,pharmadumas.lemayet@yahoo.com,,,1030003024,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000304001112008,"PHARMACIE MERLIN","PHARMACIE DE MEAULNE ",,,19,,RTE,Route,"de Paris",MEAULNE,"03360 MEAULNE-VITRAY",03360,03168,Meaulne-Vitray,99000,France,0470069645,,,,,,1030003040,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000306501012017,"PHARMACIE BARTASSOT",,,,54,,,,"GRANDE RUE",,"03510 MOLINET",03510,03173,Molinet,99000,France,,,,,,,1030003065,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000308101042019,"PHARMACIE DU MONTET",,,,22,,RTE,Route,NATIONALE,,"03240 LE-MONTET",03240,03183,"Le Montet",99000,France,0470471012,,0470471761,,,,1030003081,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000313101092020,"SELARL PHARMACIE BOURCY",,,,65,,AV,Avenue,"ALBERT THOMAS",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470291042,,0470291042,,,,1030003131,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000316401042024,"PHARMACIE DES CITES",,,,147,,AV,Avenue,"ALBERT THOMAS",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,,,0470290790,pharmaciedescites@wanadoo.fr,,,1030003164,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000318015022024," PHARMACIE DES ILES",,,"CENTRE COMMERCIAL LA ROTONDE",,,R,Rue,"Pierre Semard",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470084360,,0470084361,bernis.francois@orange.fr,,,1030003180,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000321406012003,"PHARMACIE FERRY","PHARMACIE DES GRANDS PRES",,,14,,R,Rue,BARATHON,,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470057956,,0470283021,,,,1030003214,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000323028112019,"PHARMACIE KIHOUBA","PHARMACIE DU FAUBOURG SAINT-PIERRE",,,14,,BD,Boulevard,Carnot,,"03100 ",03100,03185,Montluçon,99000,France,,,,,,,1030003230,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030003248,"SESSAD LES BOSQUETS",,,,,,RTE,Route,"DES SAUZES",,"03100 LAVAULT STE ANNE",03100,03140,Lavault-Sainte-Anne,,,0470081419,,,,,,1030003248,//ARS,SA16,"Etab. pour Handicapés",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F03000326307051993,"PHARMACIE REYNAUD",,,,2,,AV,Avenue,"MARX DORMOY - 24 BLD DE COURTA",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470054185,,,,,,1030003263,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030003289,"EAM L'EGLANTINE",,,,25,,RTE,Route,"DU STADE",,"03410 PREMILHAT",03410,03211,Prémilhat,,,0470020208,,,,,,1030003289,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR13,Médico-administratif,
F03000329701042019,"PHARMACIE   CONCHE","PHARMACIE DE PARIS",,,27,,BD,Boulevard,"DE COURTAIS",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470053312,,0470054182,,,,1030003297,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000339616082016,"PHARMACIE PORTA","PHARMACIE DE SAINT-VICTOR",,,1,,R,Rue,"ANATOLE FRANCE",,"03410 SAINT-VICTOR",03410,03262,Saint-Victor,99000,France,0952399727,,0974976778,"	pharmaciesaintvicor03@gmail.com",,,1030003396,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000341201072018,"PHARMACIE POGET","SELARL PHARMACIE POGET",,,136,,AV,Avenue,"DES GUINEBERTS",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470290336,,,,,,1030003412,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000344601012017,"PHARMACIE BIDET","PHARMACIE DE BIEN ASSIS",,"CCAL DE BIEN ASSIS",,,,,,,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,,,,,,,1030003446,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000349501052018,"PHARMACIE BLOIS","PHARMACIE DE LA CROIX BLANCHE MC",,,93,,AV,Avenue,"DU 8 MAI 1945",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470053686,,,,,,1030003495,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000351130102016,"PHARMACIE FERRANDON","PHARMACIE DE SAINT JEAN",,,163,,AV,Avenue,KENNEDY,,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,,,,,,,1030003511,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000354501042020,"PHARMACIE DES FOURS A CHAUX",,,,10,,AV,Avenue,"JULES GUESDE",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470290428,,0470290428,gustave.roselyne@perso.alliadis.net,,,1030003545,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000356018082024," PHARMACIE SAINT-JACQUES",,,"CCAL DE VIE ST JACQUES",,,QU,Quai,"LEDRU ROLLIN",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470056519,,,,,,1030003560,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000361030102016,"PHARMACIE MASFRAND","PHARMACIE DE RIMARD",,,105,,R,Rue,"DE RIMARD",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470053621,,,,,,1030003610,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030003628,"ESAT LOIRE ET BESBRE",,,,,,,,,"ZA LES VERNISSES","03290 DIOU",03290,03100,Diou,,,0470449061,,,,,,1030003628,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR12,"Encadrement et orga accompagnt social/médico-soc",
F03000364412022024,"PHARMACIE PRESIDENT AURIOL",,,,229,,AV,Avenue,"DU PRESIDENT AURIOL",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470647316,,0470281870,amandine.pharmacie03@hotmail.fr,,,1030003644,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030003669,"AURA SANTE MONTLUCON",,,"USLD COURTAIS",95,,AV,Avenue,"DES DROITS DE L'HOMME",,"03100 MONTLUCON",03100,03185,Montluçon,,,0470027810,,0470027811,,,,1030003669,//ARS,SA34,"Centre de dialyse",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F03000372701032022,"PHARMACIE DE LA REPUBLIQUE",,,,90,,AV,Avenue,"de la Republique",,"03100 MONTLUCON",03100,03185,Montluçon,99000,France,0470050656,,0470059730,,,,1030003727,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000379201042023," PHARMACIE DE LA PLACE FERRANDON",,,,7,,PL,Place,"Robert Ferrandon",,"03390 MONTMARAULT",03390,03186,Montmarault,99000,France,0470076016,,,phiedelaplaceferrandon@offisecure.com,,,1030003792,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030003818,"SAVS DE MONTLUCON",,,,4,,AV,Avenue,"ARISTIDE BRIAND",,"03100 MONTLUCON",03100,03185,Montluçon,,,0470080900,,0470080909,,,,1030003818,//ARS,SA16,"Etab. pour Handicapés",,,320,"Conseiller en économie sociale et familiale",GENR10,"Accompagnt social/médico-soc vie sociale, pro, édu",
F03000384202042013,"PHARMACIE  DE LA CHAPELLE-DESPHELIPON","SELARL PHARMACIE DES CHAMPINS",,,109,,RTE,Route,"DE LYON",,"03000 MOULINS",03000,03190,Moulins,99000,France,,,,,,,1030003842,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030003859,"SAVS SAGESS",,,,19,,R,Rue,"DE L'HORLOGE",,"03140 CHANTELLE",03140,03053,Chantelle,,,0470563214,,0470566462,,,,1030003859,//ARS,SA16,"Etab. pour Handicapés",,,326,"Educateur spécialisé",GENR10,"Accompagnt social/médico-soc vie sociale, pro, édu",
F03000389129032021," PHARMACIE DU PROGRES-PHILIPPE SALLES",,,,61,,PL,Place,D'ALLIER,,"03000 MOULINS",03000,03190,Moulins,99000,France,0470440241,,,,,,1030003891,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030003909,"SAVS DE MOULINS",,,,53,,AV,Avenue,D'ORVILLIERS,,"03000 MOULINS",03000,03190,Moulins,,,0470444555,,0470466618,,,,1030003909,//ARS,SA16,"Etab. pour Handicapés",,,326,"Educateur spécialisé",GENR10,"Accompagnt social/médico-soc vie sociale, pro, édu",
F03000401401112013,"PHARMACIE FLEURY",,,"CCAL INTERMARCHE",16,,RTE,Route,"DE MONTILLY",,"03000 MOULINS",03000,03190,Moulins,99000,France,0470441001,,0470462337,,,,1030004014,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000403001062007,"PHARMACIE CHEMORIN","SELARL PHARMACIE DES ARCADES ",,,2,,R,Rue,DIDEROT,,"03000 MOULINS",03000,03190,Moulins,99000,France,0470440080,,0470449636,,,,1030004030,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000406301122020," GRANDE PHARMACIE",,,"6 RUE DELORME",25,,PL,Place,"DE LA LIBERTE",,"03000 MOULINS",03000,03190,Moulins,99000,France,0470443247,,,,,,1030004063,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000409701102022,"PHARMACIE DE BERCY",,,,13,,CRS,Cours,"VINCENT D'INDY",,"03000 MOULINS",03000,03190,Moulins,99000,France,0470440256,,,PHARMACIEDEBERCY@OFFISECURE.COM,,,1030004097,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000414701062019,"SELARL PHARMACIE DE LA MADELEINE","PHARMACIE DE LA MADELEINE",,,20,,AV,Avenue,"DE LA LIBERATION",,"03000 MOULINS",03000,03190,Moulins,99000,France,0470442704,,0470464709,,,,1030004147,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000416201012017,"PHARMACIE  MONIOT - SMETS","PHARMACIE MOULINS SUD",,,169,,RTE,Route,"de Lyon",,"03000 MOULINS",03000,03190,Moulins,99000,France,0470443240,,0470447856,,,,1030004162,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030004238,"EHPAD LA CHARITE",,,,,,ALL,Allee,"GEORGES SAUVESTRE",,"03100 LAVAULT STE ANNE",03100,03140,Lavault-Sainte-Anne,,,0470028241,,0470024042,,,,1030004238,//ARS,SA17,"Etab. Personnes Agées",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F03000426119082008,"SELARL PHARMACIE THEODORE DE BANVILLE",,,,24,,AV,Avenue,"THEODORE DE BANVILLE",,"03000 MOULINS",03000,03190,Moulins,99000,France,0470443226,,0981409277,,,,1030004261,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030004279,"EAM BEAU REGARD SITE LE DONJON",,,,,,IMP,Impasse,TERAANGA,,"03130 LE DONJON",03130,03103,"Le Donjon",,,0470985234,,,,,,1030004279,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR13,Médico-administratif,
F03000431101042004,"PHARMACIE DEVERS - ROUZILLE",,,,32,,R,Rue,"BOISROT DESSERVIERS",,"03310 NERIS-LES-BAINS",03310,03195,Néris-les-Bains,99000,France,0470031107,,0470032976,m.devers@phsante.com,,,1030004311,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000434508041991,"PHARMACIE BAUDIN",,,,,,,,"RTE DE MOULINS",,"03340 NEUILLY LE REAL",03340,03197,Neuilly-le-Réal,99000,France,,,,,,,1030004345,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000436023122019,"PHARMACIE LE BRAY-THEVENET",,,,,,R,Rue,"DE LA GARE",,"03210 NOYANT-D'ALLIER",03210,03202,Noyant-d'Allier,,,0470472936,,,beatrice.lebray@orange.fr,,,1030004360,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000439406012025,"PHARMACIE LELOUP","PHARMACIE PREMILHAT",,,9,,R,Rue,"des Perches",,"03410 PREMILHAT",03410,03211,Prémilhat,99000,France,,,,leloup.pharmacie@laposte.net,,,1030004394,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030004428,"EHPAD LE JARDIN DES SOURCES",,,,5,,ALL,Allee,"DANIELLE MITTERRAND",,"03630 DESERTINES",03630,03098,Désertines,,,0470644008,,,,,,1030004428,//ARS,SA17,"Etab. Personnes Agées",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F030004469,"SAMSAH DE VICHY",,,,21,,R,Rue,"DU VERNET",,"03200 VICHY",03200,03310,Vichy,,,0470972075,,0470323599,,,,1030004469,CNOM/CNOM/ARS,SA16,"Etab. pour Handicapés",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F03000447702062025,"PHARMACIE RABOISSON",,,,5,,R,Rue,"du Commerce",,"03150 SAINT-GERAND-LE-PUY",03150,03235,Saint-Gérand-le-Puy,99000,France,,,,,,,1030004477,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000449307091993,"PHARMACIE BARREYRE",,,,2,,R,Rue,"PIERRE SEMARD",,"03260 SAINT-GERMAIN-DES-FOSSES",03260,03236,Saint-Germain-des-Fossés,99000,France,,,,,,,1030004493,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000452701012023," SELARL PHARMACIE NOUVELLE","PHARMACIE NOUVELLE",,,24,,R,Rue,"PIERRE SEMARD",,"03260 SAINT-GERMAIN-DES-FOSSES",03260,03236,Saint-Germain-des-Fossés,99000,France,0470596333,,,phiebeauvygarcia@gmail.com,,,1030004527,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000459201042021,"PHARMACIE  DES COURS",,,,49,,BD,Boulevard,"LEDRU ROLLIN",,"03500 ST POURCAIN SUR SIOULE",03500,03254,Saint-Pourçain-sur-Sioule,99000,France,0470454175,,,pharmaciedescours@free.fr,,,1030004592,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000464213052014,"PHARMACIE AMBLARD",,,"CENTRE COMMERCIAL CARREFOUR MARKET",53,,RTE,Route,"DE MONTMARAULT - RD 46",,"03500 ST POURCAIN SUR SIOULE",03500,03254,Saint-Pourçain-sur-Sioule,99000,France,0470454255,,0890350835,,,,1030004642,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F030004659,"SESSAD LA NÉOTTIE",,,,34,,R,Rue,"DE PROVENCE",,"03300 CUSSET",03300,03095,Cusset,,,0470557010,,,,,,1030004659,//ARS,SA16,"Etab. pour Handicapés",,,312,"Autre professionnel",GENR09,"Administratif ou orga accompagnt social/médico-soc",
F03000469130121997,"PHARMACIE BOILE-BOYADJIAN",,,,6,,R,Rue,"DE VICHY",,"03110 SAINT-REMY-EN-ROLLAT",03110,03258,Saint-Rémy-en-Rollat,99000,France,0470419518,,,,,,1030004691,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000474116072021,"PHARMACIE DE SAINT YORRE",,,,1,,R,Rue,"DE LA REPUBLIQUE",,"03270 SAINT-YORRE",03270,03264,Saint-Yorre,99000,France,0470592019,,,pharmaciedestyorre@offisecure.com,,,1030004741,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
F03000477415122003,"PHARMACIE LEPEE",,,,,,CRS,Cours,"GENEVIEVE HUILIER",,"03210 SOUVIGNY",03210,03275,Souvigny,99000,France,0470436007,,0470413122,,,,1030004774,"CNOP/CNOP/ARS + CNOP",SA33,"Pharmacie d'officine",A,"Pharmacien titulaire d'officine",FON-03,"Titulaire d'officine",GENR01,"Activité standard de soin ou de pharmacien",
